elements	col_1	col_2	col_3	col_4	col_5	col_6	col_7	col_8	col_9	col_10	col_11	col_12	col_13	col_14	col_15	col_16	col_17	col_18	col_19	col_20
elem_1	0.131133688	0.132056331	0	0.394742496	0.430003012	0.375409203	0	0.038703521	0	0	0.104366396	0	0	0.082904031	0	0	0	0	1.163622937	0.158254905
elem_2	5.376481216	1.452619644	0.95106313	4.793301731	2.914464862	4.826689752	0.410513038	0.812773946	1.499031655	0.624356797	1.095847154	0.556991313	1.104053213	1.492272559	0.982766804	0.190136402	0.852759645	0.045758174	5.394979073	1.846307225
elem_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elem_4	1.398759341	0.528225325	0.500559542	1.578969982	0.95556225	1.179857495	0.645091917	0.116110564	0.930433441	0.056759709	0.782747967	0.603407255	0.720034704	0.870492326	0.709776025	0.047534101	1.153733638	0.091516348	0.528919517	0.31650981
elem_5	1.573604258	1.36458209	3.153525114	2.481238543	1.767790162	4.665800094	0.05864472	0.580552818	0.206762987	0.056759709	0.678381571	0.789071026	0.480023136	0.207260078	0.327588935	0.427806906	0.300973992	0.274549045	3.914004426	4.536640611
elem_6	1.223914423	1.144488204	2.602909618	2.537630328	2.197793175	3.700462143	0.234578879	0.30962817	0.15507224	0.227038835	0.104366396	0.324911599	0.432020822	0.082904031	0.272990779	0.190136402	0.300973992	0.091516348	4.337140039	2.532078481
elem_7	1.792160405	2.553089071	3.954420381	2.537630328	3.4400241	5.738397817	0.351868318	0.696663382	0.465216721	0.567597088	0.626198374	0.742655084	0.288013882	0.124356047	0.163794467	0.570409207	0.351136325	0.457581742	6.770169817	3.956372626
elem_8	2.229272699	1.892807415	4.454979923	4.172992095	4.347808237	8.634411668	1.055604955	0.890180988	0.258453734	0.681116506	0.730564769	1.253230454	0.912043958	0.497424186	0.982766804	0.380272805	0.902921977	0.54909809	8.251144465	6.171941296
elem_9	0.393401065	0.220093885	0.250279771	0.22556714	0.286668675	0.214519545	0	0.038703521	0	0.113519418	0	0	0.240011568	0.082904031	0.054598156	0	0.050162332	0.045758174	0.370243662	0.580267985
elem_10	0.305978606	0.440187771	0.500559542	0.22556714	0.430003012	0.69718852	0.234578879	0.077407042	0.103381493	0.340558253	0.365282385	0.278495656	0.144006941	0.248712093	0.109196312	0.142602302	0.25081166	0.457581742	0.846271227	0.94952943
elem_11	1.923294094	1.496638421	2.402685801	1.522578197	2.532239962	2.681494307	0.175934159	1.2772162	0.206762987	0.283798544	0.260915989	0.742655084	0.768037017	0.704684264	0.491383402	0.285204604	0.351136325	0.457581742	3.808220522	4.483888976
elem_12	0.262267376	0.132056331	0.400447634	0	0.57333735	0.643558634	0.410513038	0.154814085	0.15507224	0.340558253	0.156549593	0.092831885	0.096004627	0.082904031	0.38218709	0.332738704	0.300973992	0.228790871	1.163622937	0.580267985
elem_13	3.278342205	4.577952817	7.308169313	4.624126376	5.972264062	7.400924287	1.290183833	2.631839443	2.222702109	3.973179618	3.07880867	3.806107304	0.816039331	0.455972171	2.729907789	1.473557119	1.555032295	5.44522273	12.3767167	8.071000157
elem_14	0.69937967	0.528225325	1.101230992	0.563917851	1.003340362	0.804448292	0	0.696663382	0.051690747	0.227038835	0.156549593	0.232079714	0.144006941	0.331616124	0.054598156	0.332738704	0.050162332	0.594856265	1.216514889	1.529797415
elem_15	0.043711229	0.044018777	0.050055954	0.169175355	0.238890562	0.107259772	0	0.116110564	0.051690747	0.113519418	0.104366396	0	0.192009254	0.124356047	0.109196312	0	0	0	0.052891952	0.052751635
elem_16	0.480823523	0.132056331	0.350391679	0.11278357	0.430003012	0.69718852	0.05864472	0.038703521	0	0	0.313099187	0	0.144006941	0	0	0.047534101	0.050162332	0.228790871	1.163622937	0.42201308
elem_17	0.437112294	0.264112663	0.050055954	0.620309636	0.286668675	0.321779317	0.05864472	0.077407042	0.15507224	0	0.208732791	0.139247828	0.096004627	0.082904031	0	0	0.050162332	0.091516348	0.105783903	0.42201308
elem_18	0.349689835	0.220093885	0.300335725	0.056391785	0.3822249	0.214519545	0	0.116110564	0.15507224	0	0.208732791	0.092831885	0.144006941	0.207260078	0	0	0.050162332	0.091516348	0.528919517	0
elem_19	0.524534753	0.176075108	0.250279771	0.11278357	0.238890562	0.321779317	0	0.154814085	0.103381493	0.227038835	0.104366396	0.185663771	0.048002314	0.455972171	0	0.047534101	0.100324664	0.183032697	0.158675855	0.158254905
elem_20	0.611957212	0.220093885	0.200223817	0.33835071	0.286668675	0.321779317	0	0.116110564	0.15507224	0	0.365282385	0.092831885	0	0.331616124	0.054598156	0.047534101	0.150486996	0.045758174	0.476027565	0.580267985
elem_21	1.398759341	0	0.100111908	0.958660346	0.238890562	1.66252647	0.117289439	0.154814085	0.413525974	0	0.156549593	0.046415943	0.144006941	0.331616124	0.054598156	0.190136402	0.050162332	0.045758174	1.163622937	0.42201308
elem_22	1.879582864	1.804769861	2.703021527	1.691753552	1.9111245	2.735124193	0.586447197	1.470733806	0.568598214	0.454077671	0.521831978	0.464159427	0.480023136	0.497424186	0.818972337	0.570409207	0.802597313	0.777888961	5.342087122	3.798117721
elem_23	0.917935817	0.484206548	0.400447634	1.127835701	0.477781125	1.018967837	0.05864472	0.193517606	0.15507224	0.056759709	0.521831978	0.092831885	0.144006941	0.290164109	0.163794467	0.332738704	0.451460989	0.045758174	1.798326358	0.896777795
elem_24	1.136491964	0.792337988	1.501678626	1.071443916	1.385565262	2.037935673	0.410513038	0.657959861	0.465216721	0.056759709	0.156549593	0.324911599	0.336016195	0.704684264	0.38218709	0.665477409	0.752434981	1.281228878	2.856165392	2.848588291
elem_25	7.649465145	9.023849303	16.11801725	9.361036322	12.75675604	13.83651062	1.759341591	4.876643673	1.137196428	2.894745151	1.774228725	1.578142053	2.256108739	2.69438101	1.474150206	2.424239132	1.805843955	2.425183233	25.96994828	24.00199393
